1,Ali Abdullah Saleh,1942/03/21,6495 Atlanta Hwy,Montgomery,AL,36117,0374320284
2,Sidney Poitier,1927/02/20,200 Sunrise Mall,Massapequa,NY,11758,0070410917
3,Carolyn Bessette Kennedy,1966/01/07,742 Main Street,North Oxford,MA,1537,0007448614
4,NA Wei Jingsheng,1950/05/20,1400 County Rd 64,Horseheads,NY,14845,0054236999
5,Juliette Binoche,1964/03/09,600 Boll Weevil Circle,Enterprise,AL,36330,0809064510
6,Santiago Calatrava,1951/07/28,2800 Spring Avn SW,Decatur,AL,35603,0075470416
7,George C Wallace,1919/08/25,1470 S Washington St,North Attleboro,MA,2760,0593922011
8,Zalmay Khalilzad,1951/03/22,2181 Pelham Pkwy,Pelham,AL,35124,0324221546
9,Edward Weston,1886/03/24,600 Boll Weevil Circle,Enterprise,AL,36330,0450496908
10,Stanford White,1853/11/09,6495 Atlanta Hwy,Montgomery,AL,36117,0231807644
11,Frank Langella,1938/01/01,262 Swansea Mall Dr,Swansea,MA,2777,0716049011
12,Jim Rutenberg,NA,701 Mcmeans Ave,Bay Minette,AL,36507,0323663333
13,Jeb Bush,1953/02/11,311 RT 9W,Glenmont,NY,12077,0773312579
14,Frank Stronach,1932/09/06,700 Oak Street,Brockton,MA,2301,0764422831
15,Carl Gustav Jung,1875/07/26,1625 Pelham South,Jacksonville,AL,36265,0078097270
16,Itamar Franco,1930/06/28,55 Brooksby Village Way,Danvers,MA,1923,0426484706
17,Yitzhak Rabin,1922/03/01,1365 Boston Post Road,Milford,CT,6460,0847711115
18,James H Billington,1929/06/01,301 Falls Blvd,Quincy,MA,2169,0579484098
19,Greg Louganis,1960/01/29,750 Middle Country Road,Middle Island,NY,11953,0372305171
20,Guy V Molinari,1928/11/23,1775 Washington St,Hanover,MA,2339,0010231699
21,Gavin Cato,NA,2200 South Mckenzie St,Foley,AL,36535,0067539746
22,Caryl Churchill,1938/09/03,262 Swansea Mall Dr,Swansea,MA,2777,0083906524
23,Bob Costas,1952/03/22,690 Hwy 78,Sumiton,AL,35148,0376989582
24,Thomas Muster,1967/10/02,2900 S Mem PkwyDrake Ave,Huntsville,AL,35801,0586005458
25,Lillian Hellman,1905/06/20,844 No Colony Road,Wallingford,CT,6492,0066649023
26,Bashar Al- Assad,1965/09/11,311 RT 9W,Glenmont,NY,12077,0269951665
27,Sharpe James,1936/02/20,350 E Fairmount Ave,Lakewood,NY,14750,0762929914
28,Juan Antonio Samaranch,1920/07/17,2200 South Mckenzie St,Foley,AL,36535,0244364924
29,Gary Hart,1936/11/28,2055 Niagara Falls Blvd,Amherst,NY,14228,0889324710
30,LaMont Jordan,1978/11/11,1970 S University Blvd,Mobile,AL,36609,0251342318
31,Gary Locke,1950/01/21,626 Olive Street Sw,Cullman,AL,35055,0919591607
32,Judith A Jacobs,NA,4133 Veterans Memorial Drive,Batavia,NY,14020,0680151355
33,Laura Davies,1963/10/05,255 W Main St,Avon,CT,6001,0052001216
34,John Mellencamp,1951/10/07,901 Route 110,Farmingdale,NY,11735,0952995023
35,Louise Bourgeois,1911/12/25,1600 Montclair Rd,Birmingham,AL,35210,0318638905
36,Shashi Tharoor,1958/03/09,1420 Us 231 South,Troy,AL,36081,0189578161
37,Ira Glasser,1938/01/01,103 North Caroline St,Herkimer,NY,13350,0498031159
38,Peyton Manning,1976/03/24,550 Providence Hwy,Walpole,MA,2081,0319380854
39,Anastasia Myskina,1981/07/08,5335 Hwy 280 South,Hoover,AL,35242,0742703423
40,Norman Hsu,1951/01/01,337 Russell St,Hadley,MA,1035,0183007077
41,Frank Stronach,1932/09/06,517 West Avalon Ave,Muscle Shoals,AL,35661,0430481333
42,Peter Sellars,1957/09/27,101 South Beltline Highway,Mobile,AL,36606,0253874939
43,Jeane J Kirkpatrick,1926/11/19,1201 Hwy 31 NW,Hartselle,AL,35640,0684418596
44,Hilary Swank,1974/07/12,92 Plaza Lane,Oxford,AL,36203,0885374339
45,Julia Child,1912/08/15,851 Ann St,Montgomery,AL,36107,0827928229
46,Herman Edwards,1954/04/27,41301 US Hwy 280,Sylacauga,AL,35150,0923410736
47,Ashley Judd,1968/04/19,288 Larkin,Monroe,NY,10950,0437441414
